brand,topic_label,count
Amazon,Longevity/Smudge-Proof,115
Amazon,Packaging/Delivery,49
Amazon,Irritation/Sensitivity,48
Amazon,Hydration/Moisture,44
Amazon,Texture/Absorption,26
Amazon,Scent/Fragrance,25
Amazon Fire Tv,Scent/Fragrance,16
Amazon Fire Tv,Hydration/Moisture,11
Amazon Fire Tv,Texture/Absorption,4
Amazon Echo,Irritation/Sensitivity,3
Amazon Fire,Packaging/Delivery,2
Amazon Digital Services Inc.,Texture/Absorption,1
Amazon Echo,Hydration/Moisture,1
Amazon Echo,Packaging/Delivery,1
Amazon Fire Tv,Longevity/Smudge-Proof,1
